case:concept:name,id_event,sort_order,time,text,concept:name,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break,cumgoal,date,result,time:timestamp,@@index
16 Chelsea vs Crystal Palace,lAGdkX5Q75,75,1:11:00,Foul by Gary Cahill (Chelsea).,파울,,홈팀,Chelsea,Crystal Palace,gary cahill,,,,,,0,,,없음,,0,0,2015-08-29 00:00:00+00:00,패,2015-08-29 01:11:00+00:00,673756
16 Chelsea vs Crystal Palace,lAGdkX5Q76,76,1:11:00,Connor Wickham (Crystal Palace) wins a free kick on the right wing.,오른쪽측면프리킥시도,,원정팀,Crystal Palace,Chelsea,connor wickham,,,,,,0,오른쪽측면,,없음,,0,1,2015-08-29 00:00:10+00:00,승,2015-08-29 01:11:10+00:00,673757
16 Chelsea vs Crystal Palace,lAGdkX5Q77,77,1:11:00,Booking      Gary Cahill (Chelsea) is shown the yellow card for a bad foul.,옐로카드,,홈팀,Chelsea,Crystal Palace,gary cahill,,,,,,0,,,없음,,0,0,2015-08-29 00:00:20+00:00,패,2015-08-29 01:11:20+00:00,673758
16 Chelsea vs Crystal Palace,lAGdkX5Q78,78,1:12:00,Booking      Yohan Cabaye (Crystal Palace) is shown the yellow card.,옐로카드,,원정팀,Crystal Palace,Chelsea,yohan cabaye,,,,,,0,,,없음,,0,1,2015-08-29 00:00:00+00:00,승,2015-08-29 01:12:00+00:00,673759
16 Chelsea vs Crystal Palace,lAGdkX5Q79,79,1:12:00,"Substitution      Substitution, Chelsea. Ruben Loftus-Cheek replaces Nemanja Matic.",교체,,홈팀,Chelsea,Crystal Palace,,,ruben loftuscheek,nemanja matic,,,0,,,없음,,0,0,2015-08-29 00:00:10+00:00,패,2015-08-29 01:12:10+00:00,673760
16 Chelsea vs Crystal Palace,lAGdkX5Q80,80,1:13:00,"Attempt missed. Yannick Bolasie (Crystal Palace) left footed shot from the centre of the box is close, but misses to the left. Assisted by Bakary Sako with a cross.",패널티박스중앙슈팅시도,키패스,원정팀,Crystal Palace,Chelsea,yannick bolasie,bakary sako,,,좌측으로빗나감,비유효슈팅,0,패널티박스중앙,왼발,크로스,필드,0,1,2015-08-29 00:00:00+00:00,승,2015-08-29 01:13:00+00:00,673761
16 Chelsea vs Crystal Palace,lAGdkX5Q81,81,1:14:00,Falcao (Chelsea) wins a free kick on the right wing.,오른쪽측면프리킥시도,,홈팀,Chelsea,Crystal Palace,falcao,,,,,,0,오른쪽측면,,없음,,0,0,2015-08-29 00:00:00+00:00,패,2015-08-29 01:14:00+00:00,673762
16 Chelsea vs Crystal Palace,lAGdkX5Q82,82,1:14:00,Foul by Pape Souare (Crystal Palace).,파울,,원정팀,Crystal Palace,Chelsea,pape souare,,,,,,0,,,없음,,0,1,2015-08-29 00:00:10+00:00,승,2015-08-29 01:14:10+00:00,673763
16 Chelsea vs Crystal Palace,lAGdkX5Q83,83,1:15:00,Attempt missed. Yannick Bolasie (Crystal Palace) right footed shot from outside the box is just a bit too high. Assisted by James McArthur.,패널티바깥쪽슈팅시도,키패스,원정팀,Crystal Palace,Chelsea,yannick bolasie,james mcarthur,,,대형홈런,비유효슈팅,0,패널티바깥쪽,오른발,패스,필드,0,1,2015-08-29 00:00:00+00:00,승,2015-08-29 01:15:00+00:00,673764
16 Chelsea vs Crystal Palace,lAGdkX5Q84,84,1:17:00,"Corner,  Crystal Palace. Conceded by Kurt Zouma.",코너킥,,원정팀,Crystal Palace,Chelsea,kurt zouma,kurt zouma,,,,,0,,,없음,,0,1,2015-08-29 00:00:00+00:00,승,2015-08-29 01:17:00+00:00,673765
16 Chelsea vs Crystal Palace,lAGdkX5Q85,85,1:18:00,Foul by Eden Hazard (Chelsea).,파울,,홈팀,Chelsea,Crystal Palace,eden hazard,,,,,,0,,,없음,,0,0,2015-08-29 00:00:00+00:00,패,2015-08-29 01:18:00+00:00,673766
16 Chelsea vs Crystal Palace,lAGdkX5Q86,86,1:18:00,Jason Puncheon (Crystal Palace) wins a free kick in the defensive half.,수비지역프리킥시도,,원정팀,Crystal Palace,Chelsea,jason puncheon,,,,,,0,수비지역,,없음,,0,1,2015-08-29 00:00:10+00:00,승,2015-08-29 01:18:10+00:00,673767
16 Chelsea vs Crystal Palace,lAGdkX5Q87,87,1:19:00,"Goal!        Goal!  Chelsea 1, Crystal Palace 1. Falcao (Chelsea) header from the centre of the box to the bottom right corner. Assisted by Pedro with a cross.",패널티박스중앙슈팅시도,키패스,홈팀,Chelsea,Crystal Palace,falcao,pedro,,,우측하단,유효슈팅,1,패널티박스중앙,머리,크로스,필드,0,1,2015-08-29 00:00:00+00:00,패,2015-08-29 01:19:00+00:00,673768
16 Chelsea vs Crystal Palace,lAGdkX5Q88,88,1:21:00,"Goal!        Goal!  Chelsea 1, Crystal Palace 2. Joel Ward (Crystal Palace) header from very close range to the bottom left corner. Assisted by Bakary Sako.",매우가까운슈팅시도,키패스,원정팀,Crystal Palace,Chelsea,joel ward,bakary sako,,,좌측하단,유효슈팅,1,매우가까운,머리,패스,필드,0,2,2015-08-29 00:00:00+00:00,승,2015-08-29 01:21:00+00:00,673769
16 Chelsea vs Crystal Palace,lAGdkX5Q89,89,1:22:00,"Substitution      Substitution, Crystal Palace. Joe Ledley replaces Yohan Cabaye.",교체,,원정팀,Crystal Palace,Chelsea,,,joe ledley,yohan cabaye,,,0,,,없음,,0,2,2015-08-29 00:00:00+00:00,승,2015-08-29 01:22:00+00:00,673770
16 Chelsea vs Crystal Palace,lAGdkX5Q90,90,1:22:00,Falcao (Chelsea) wins a free kick in the attacking half.,공격지역프리킥시도,,홈팀,Chelsea,Crystal Palace,falcao,,,,,,0,공격지역,,없음,,0,1,2015-08-29 00:00:10+00:00,패,2015-08-29 01:22:10+00:00,673771
16 Chelsea vs Crystal Palace,lAGdkX5Q91,91,1:22:00,Foul by James McArthur (Crystal Palace).,파울,,원정팀,Crystal Palace,Chelsea,james mcarthur,,,,,,0,,,없음,,0,2,2015-08-29 00:00:20+00:00,승,2015-08-29 01:22:20+00:00,673772
