id_odsp,event_team,cumgoal
zwnPZNYb/,Espanyol,0
zwnPZNYb/,Mallorca,1
2mfCxQlt/,Villarreal,0
2mfCxQlt/,Barcelona,5
jLzeUf2l/,FC Augsburg,1
jLzeUf2l/,Bayer Leverkusen,4
W0scuwXc/,AC Milan,2
W0scuwXc/,Lazio,2
8CDrVzmr/,Borussia Monchengladbach,1
8CDrVzmr/,Kaiserslautern,0
8IIi5Zf1/,Dijon FCO,1
8IIi5Zf1/,Lyon,2
8z2lWuYN/,Valencia,1
8z2lWuYN/,Atletico Madrid,0
bBByVmEG/,Real Madrid,4
bBByVmEG/,Getafe,2
CWQbQzXQ/,St Etienne,1
CWQbQzXQ/,Lille,3
EeJm6Fue/,Caen,0
EeJm6Fue/,Toulouse,1
ID3RLfur/,Lorient,1
ID3RLfur/,Sochaux,1
IToDFeme/,Hertha Berlin,2
IToDFeme/,Borussia Dortmund,1
ITPv8yBr/,Valenciennes,1
ITPv8yBr/,AC Ajaccio,3
KhMe4gA7/,Marseille,0
KhMe4gA7/,Stade Rennes,1
n3jHEF21/,Bayern Munich,7
n3jHEF21/,SC Freiburg,0
n9s9ZBao/,Villarreal,2
n9s9ZBao/,Sevilla,2
pKeGywAE/,VfB Stuttgart,3
pKeGywAE/,Hannover 96,0
QgkLDZH7/,Werder Bremen,2
QgkLDZH7/,Hamburg SV,0
vJhKQJeo/,Real Sociedad,2
vJhKQJeo/,Barcelona,2
WGiCxJf8/,Mainz,0
WGiCxJf8/,TSG Hoffenheim,4
z5Kq7eQl/,Bordeaux,0
z5Kq7eQl/,Evian Thonon Gaillard,0
zesOOHnH/,Cesena,1
zesOOHnH/,Napoli,3
2c1hVamU/,Sporting Gijon,1
2c1hVamU/,Osasuna,2
46NjSd2E/,AS Nancy Lorraine,0
46NjSd2E/,AJ Auxerre,0
Ait1vcn4/,Internazionale,3
Ait1vcn4/,Palermo,4
bRgKW9q4/,Espanyol,2
bRgKW9q4/,Athletic Bilbao,1
EotSNy2N/,Novara,2
EotSNy2N/,Chievo Verona,2
hYAuU7TM/,Levante,0
hYAuU7TM/,Racing Santander,0
IXgOZGvR/,Schalke 04,1
IXgOZGvR/,VfL Wolfsburg,2
